Name,Price,Brand,Gender,Product Type,Character,Fragrance Family,Size,Ingredients,Concentration,Top Notes,Middle Notes,Base Notes,Product Color,Year of Launch,Category,Makeup Type
Boucheron Quatre Pour Femme - 100ml,347,Boucheron,Women,Perfume,Extravagant,Fruity,100 ml,"Grapefruit, Lemon, Orange, Tangerine, Apple, Jasmine, Peach, Rose, Strawberry, Caramel, Cashmeran, Vanilla, White Musk, Cedar",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple","Cedarwood, vanilla, cashmere, caramel",Gold,2015,,
Versace Eros EDT - 100 ml,514,Versace,Men,Perfume,Extravagant,Aromatic,100 ml,"Mint, green apple, lemon, tonka, geranium, ambroxan, madagascar vanilla, vetiver, oak moss, virginia cedar, atlantic cedar.",Eau de Toilette,"Mint, Green apple, Lemon","Tonka bean, Geranium, Ambroxan","Madagascar vanilla, Vetiver, Oakmoss, Virginian cedar, Altas cedar",,2012,Perfume,
Guerlain Insolence EDP,499,Guerlain,Women,Perfume,Sensual,Soft Floral,75 ml,"Red Berries, Iris, Powder, Violet",Eau de Parfum,,,,,2017,,
Versace Dylan Blue Pour Homme - 100ml,439,Versace,Men,Perfume,Natural,Aromatic,100 ml,"Calabrian bergamot, grapefruit, fig leaves, violet leaf, papyrus wood, organic patchouli, black pepper, ambrox, Mineral musks, tonka bean, incense, saffron.",Eau de Toilette,"Calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox","Mineral musks, tonka bean, incense, saffron.",Blue,2016,,
Parfums de Marly Delina,1386,Parfums de Marly,Women,Perfume,Romantic,Floral,75 ml,"Bergamot, rhubarb, litchi, nutmeg, Turkish rose, peony, petalia, vanilla, musk, cashmere, Haitian vetiver, cedar wood, incense.",Eau de Parfum,"Bergamot, rhubarb, litchi, nutmeg","Turkish rose, peony, petalia, vanilla, musk","Cashmere, Haitian Vetiver, Cedarwood, Incense.",Pink,2017,,
Roberto Cavalli Paradiso Azzurro - 75 ml,317,Roberto Cavalli,Women,Perfume,Romantic,Floral,75 ml,"Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"Citrus, Bergamot, Lavender","wild jasmine, petals","Cypress, Cashmere woods",,2015,Perfume,
Yves Saint Laurent Libre,646,Yves Saint Laurent,Women,Perfume,Romantic,Floral,90 ml,"Mandarin Orange, lavendar, black currant, petitgrain, jasmine, orange blossom, vanilla, cedar, musk, ambergris",Eau de Parfum,"Mandarin Orange, Lavendar, Black Currant, Petitgrain","Jasmine, Orange Blossom","Vanilla, Cedar, Musk, Ambergris",,2019,,
Chopard Oud Malaki - 80 ml,379,Chopard,Unisex,Perfume,Glamorous,Oriental,80 ml,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco","Amber, dark woods, oud",,2012,Oud,
Dolce & Gabbana Pour Femme Intense,359,Dolce&Gabbana,Women,Perfume,13011,Floral Oriental,50 ml,"green mandarin, neroli, tuberose, orange blossom, marshmallow, sandalwood.",Eau de Parfum,"Neroli, Green mandarin","Orange blossom, Tuberose","Marshmallow, Sandalwood",,2013,Perfume,
Yves Saint Laurent Y EDP,437,Yves Saint Laurent,Men,Perfume,Masculine,Woody,60 ml,"Bergamot, Ginger, Apple, Sage, Geranium, Juniper Berries, Vetiver, Cedar, Tonka Beans, Amber Woods, Olibanum",Eau de Parfum,,,,Black,2018,,
Gucci Guilty Absolute Pour Femme,311,Gucci,Women,Perfume,Feminine,Woody Oriental,50 ml,"Blackberry, Rose, Cypress, Vetiver, leather, Goldenwood, Patchouli",Eau de Parfum,Blackberry,"Rose, Cypress, Vetiver","Leather, Goldenwood, Patchouli",Purple,2017,,
Tom Ford Ombre Leather EDP,904,Tom Ford,Unisex,Perfume,Classical,Leather,100 ml,"Cardamom, ful, patchouli, amber and algae.",Eau de Parfum,Cardamom.,Ful,"Patchouli, amber and algae",Black,2018,,
Mont Blanc Explorer,277,Mont Blanc,Men,Perfume,Charismatic,Aromatic,100 ml,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix","Vetiver, Leather, Cedarwood",Black,2019,,
"Roberto Cavalli ""Roberto Cavalli""",217,Roberto Cavalli,Women,Perfume,Modern,Floral Oriental,75 ml,"Pink pepper, African orange flower, benzoin, tonka bean, vanilla.",Eau de Parfum,Pink pepper,"African orange flower,","benzoin, tonka bean, vanilla.",,2012,,
Gucci Bloom - 100 ml,668,Gucci,Women,Perfume,Feminine,Floral,100 ml,"Orange, Green Notes, Natural Tuberose, Jasmine absolute, Jasmine bud extrac, Orris root, Sandalwood, Vanilla",Eau de Parfum,"Orange, Green Notes","Natural Tuberose, Jasmine absolute, Jasmine bud extrac","Orris root, Sandalwood, Vanilla",Pink,2017,,
Guerlain Cuir Intense EDP,945,Guerlain,Unisex,Perfume,Classical,Leather,125 ml,"Alcohol, Parfum (Fragrance), Aqua (Water), Coumarin, Ethylhexyl Methoxycinnamate, Evernia Furfuracea (Treemoss) Extract, Linalool, Bht, Alpha-isomethyl Ionone, Butyl Methoxydibenzoylmethane, Butylene Glycol Dicaprylate/dicaprate, Citronellol, Benzyl Benzo",Eau de Parfum,"Ylang-ylang, Osmanthus","Musk, Leather","Virginia Cedar, Sandalwood, Tobacco",,2019,,
Coach Dreams - 90 ml,414,Coach,Women,Perfume,Extravagant,Fruity,90 ml,"Pear juice, orange, gardenia, cactus flowers, Joshua tree, ambroxan",Eau de Parfum,"Pear juice, orange","Orange, gardenia, cactus flowers","Joshua Tree, Ambroxan",,2020,,
Candy Addict V Vanille EDP,70,Candy Addict,Unisex,Perfume,Extravagant,Oriental,50 ml,"Alcohol, Parfum (Fragrance), Aqua (Water), Hydroxycitronellal, Citronellol, Limonene, Geraniol, Butylated Hydroxytoluene, PEG-40 Hydrogenated Castor Oil, Linalool, Eugenol.",Eau de Parfum,Pink Pepper,Sage,Vanilla,,2021,,
Roberto Cavalli Uomo Roberto Cavalli,302,Roberto Cavalli,Men,Perfume,Charismatic,Oriental,100 ml,"Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.",Eau de Toilette,"Black violet, Saffron","Honey, Lavender","Cedarwood, Patchouli, Tonka.",,2016,Perfume,
Giorgio Armani Armani Prive Vert Malachite,1461,Giorgio Armani,Unisex,Perfume,Charismatic,Aromatic,100 ml,"Bitter Orange, Petitgrain, Ylang Ylang, Jasmine Sambac, Pink Pepper, Lily, Benzoin, Vanilla.",Eau de Parfum,,,,Green,2016,,
Dolce & Gabbana The One for Men EDT,373,Dolce&Gabbana,Men,Perfume,Natural,Woody,100 ml,"Coriander, basil, grapefruit, ginger, orange buds, cardamom, amber, cedar, tobacco",Eau de Toilette,"Grapefruit, Coriander, Basil","ginger, orange buds, cardamom","amber, cedar, tobacco",,2008,Perfume,
The Finest Rose EDP - 100 ml,219,The Finest,Unisex,Perfume,Romantic,Musky,100 ml,"Bergamot, Peach, Pineapple, Bulgarian Rose, Jasmine, Gardenia, Lily of the Valley, Musk, Cedarwood, Amber, Tonka",Eau de Parfum,"Bergamot, Peach, Pineapple","Bulgarian Rose, Jasmine, Gardenia, Lily of the Valley","Musk, Cedarwood, Amber, Tonka",,,,
Lancome Idole,448,Lancome,Women,Perfume,Romantic,Floral,50 ml,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn, Rose, Jasmine, White Musk, Vanilla, Patchouli, Cedarwood",Eau de Parfum,"Bergamot (Citrus),Juicy Pear, Pink Peppercorn","Rose, Jasmine","White Musk, Vanilla, Patchouli, Cedarwood",,2019,,
Versace Eros Pour Femme EDP,555,Versace,Women,Perfume,Sophisticated,Woody,100 ml,"sicilian lemon, calabrian bergamot, pomegranate, lemon flower, sambac jasmine, jasmine infusion, peony, sandlewood, ambrox, musks, sensual wood.",Eau de Parfum,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods",,2014,Perfume,
Orto Parisi Terroni,750,Orto Parisi,Unisex,Perfume,Extravagant,Aromatic,50 ml,"Cashmere wood, cotton candy, cibriol, musk, cedar",Eau de Parfum,"Cashmere wood, cotton candy",Cypriol,"Musk, rice",,2017,,
Calvin Klein Ck Sheer Beauty,259,Calvin Klein,Women,Perfume,Feminine,Soft Floral,100 ml,"Bergamot, Red Berries, Peach Bellin, Peony, Lilly, Jasmine, Sandalwood, Musk ,Vanilla",Eau de Toilette,"Bergamot, Red Berries, Peach Bellin","Peony, Lilly, Jasmine","Sandalwood, Musk ,Vanilla",,2010,,
Gucci Guilty Pour Femme,708,Gucci,Women,Perfume,Feminine,Floral,90 ml,"Mandarin, Bergamot, Pink Pepper, Lilac, Rosy and Violet notes, Geranium Oil, Patchouli, Amber notes",Eau de Parfum,"Mandarin, Bergamot, Pink Pepper","Lilac, Rosy and Violet notes, Geranium Oil","Patchouli, Amber notes",,2019,,
Jean Paul Gaultier Le Male Elixir EDP,630,Jean Paul Gaultier,Men,Perfume,Extravagant,Aromatic,125 ml,"Alcohol Denat., Parfum (Fragrance), Aqua (Water), Linalool, Coumarin, Limonene, Butyl Methoxydibenzoylmethane, Alpha-isomethyl Ionone, Cinnamal, Citral, Geraniol, Benzyl Benzoate, Benzyl Alcohol",Eau de Parfum,Lavender,Tonka Bean,Benzoin,,,,
Creed Silver Mountain Water,1505,Creed,Men,Perfume,Glamorous,Aromatic,100 ml,"Bergamot, Mandarin,Green Tea, Black Currant,Galbanum, Musk, Sandalwood, Petit Grain",Eau de Parfum,"Bergamot, Mandarin","Green Tea, Black Currant","Galbanum, Musk, Sandalwood, Petit Grain",,2002,Perfume,
Roberto Cavalli Florence,279,Roberto Cavalli,Women,Perfume,Romantic,Floral,50 ml,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,,,,Purple,2016,,
Giorgio Armani Si Passione,379,Giorgio Armani,Women,Perfume,Extravagant,Fruity,30 ml,"Rose, Jasmine, Heliotrope, Pineapple, Extravagant,",Eau de Parfum,"Pink Pepper, Pear, Black Currant, Grapefruit","Rose, Jasmine, Heliotrope, Pineapple","Cedar, Vanilla, Amberwood, Patchouli",,2013,,
Orto Parisi Megamare,767,Orto Parisi,Unisex,Perfume,Extravagant,Aromatic,50 ml,"Sea Breeze, Sea Cucumber, Amber, Seaweed",Eau de Parfum,,,,,2014,,
Givenchy L'Interdit Rouge EDP,619,Givenchy,Women,Perfume,Sophisticated,Floral Oriental,80 ml,"Alcohol, Parfum (Fragrance), Aqua (Water), Linalool, Limonene, Butyl Methoxydibenzoylmethane, Hydroxycitronellal, Geraniol, Citronellol, Benzyl Salicylate, Coumarin, Alpha-Isomethyl Ionone, Eugenol, Citral.",Eau de Parfum,"Blood Orange, Ginger","Pimento leaves, Jasmine, Tuberose","Vetiver, Patchouli, Sandalwood",,2021,,
Mont Blanc Emblem,317,Mont Blanc,Men,Perfume,Charismatic,Woody Oriental,100 ml,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon","Woods, Tonka bean",,2014,Perfume,
Gucci Flora Gorgeous Gardenia EDP,601,Gucci,Women,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,"Pear Blossom Accord, Italian Mandarin and Red Berries","White Gardenia, Jasmine, Frangipani Flower",Patchouli. Brown sugar,,2021,,
Maison Margiela Jazz Club EDT,771,Maison Margiela,Men,Perfume,Classical,Leather,100 ml,"Alcohol, Aqua / Water, Parfum / Fragrance, Ethylhexyl Methoxycinnamate, Coumarin, Limonene, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Linalool, Citral, Geraniol, Cinnamal, Hydroxycitronellal, Eugenol, Citronellol.",Eau de Toilette,"Lemon, Orange Blossom, Pink Pepper","Sage, Vetiver Oil, Sweet Rum","Styrax, Vanilla Beans, Tobacco",,2013,,
Versace Eros EDP,459,Versace,Men,Perfume,Sophisticated,Woody Oriental,100 ml,"Mint, Candy Apple, Lemon, Mandarin Orange, Ambroxan, Clary Sage, Geranium, Vanilla, Leather, Sandalwood, Bitter Orange, Cedar, Patchouli",Eau de Parfum,"Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Clary Sage, Geranium","Vanilla, Leather, Sandalwood, Bitter Orange, Cedar, Patchouli",,,,
Juicy Couture Viva La Juicy,298,Juicy Couture,Women,Perfume,Extravagant,Fruity,100 ml,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,","Amber, Caramel, Almond Candy, Sandalwood, Vanilla",,2008,Perfume,
Narciso Rodriguez For Her EDP,734,Narciso Rodriguez,Women,Perfume,Feminine,Floral,100 ml,"Rose, Peach, Amber, Musk, Patchouli, Sandalwood",Eau de Parfum,"Rose, Peach","Amber, Musk","Patchouli, Sandalwood",,2006,Perfume,
Nishane Hundred Silent Ways Extrait De Parfum,995,Nishane,Unisex,Perfume,Romantic,Floral,50 ml,"Mandarin Orange, Tuberose, Peach, Jasmine, Gardenia, Orris, Vanilla, Sandalwood, Vetiver",Extrait de Parfum,"Mandarin Orange, Tuberose, Peach","Jasmine, Gardenia, Orris","Vanilla, Sandalwood, Vetiver",,2016,,
Yves Saint Laurent Black Opium,482,Yves Saint Laurent,Women,Perfume,,Floral Oriental,30 ml,"Vanilla , Patchouli , Cedar , Wood , Coffee ,  Jasmine ,  Almond , Pink Pepper",Eau de Parfum,,,,,,,
Dior Sauvage EDP,660,Dior,Men,Perfume,Charismatic,Aromatic,100 ml,"Bergamot,Lavender, Nutmeg, Sichuan Pepper, Star Anise,Vanilla, Ambroxan",Eau de Parfum,Bergamot,"Lavender, Nutmeg, Sichuan Pepper, Star Anise","Vanilla, Ambroxan",Black,2015,,
Dior Hypnotic Poison EDT,668,Dior,Women,Perfume,Glamorous,Aromatic,100 ml,"Apricot, Coconut, Plum, Pimento,Jasmine, Lily-of-the-valley, Rose, Rosewood, Tuberose,Almond, Sandalwood, Vanilla",Eau de Toilette,"Apricot, Coconut, Plum, Pimento","Jasmine, Lily-of-the-valley, Rose, Rosewood, Tuberose","Almond, Sandalwood, Vanilla",,1997,Perfume,
Yves Saint Laurent Tuxedo Epices Patchouli EDP,1392,Yves Saint Laurent,Unisex,Perfume,Charismatic,Chypre,125 ml,"Bergamot, coriander, violet leaves, lily of the valley, black pepper, rose, vanilla bourbon, amber, patchouli",Eau de Parfum,"Bergamot, coriander, violet leaves","lily of the valley, black pepper, rose","vanilla bourbon, amber, patchouli",,2015,,
Gucci Guilty Absolute Pour Homme,332,Gucci,Men,Perfume,Charismatic,Woody,50 ml,"Leather, Patchouli, Cypress, Vetiver, Golden Wood",Eau de Parfum,Leather,Patchouli Cypress,"Vetiver, Goldenwood",Orange,2017,,
Chanel Bleu De Chanel EDT,597,Chanel,Men,Perfume,Dynamic,Aromatic,100 ml,"Lemon, Mint, Pink Pepper, Grapefruit, Ginger, ISO E Super, Nutmeg, Jasmine, Adan, Sandalwood, Patchouli, Vetiver, Incense, Cedarwood, White Musk.",Eau de Toilette,"Lemon, Mint, Pink Pepper, Grapefruit","Ginger, ISO E Super, Nutmeg, Jasmine","Adan, Sandalwood, Patchouli, Vetiver, Incense, Cedarwood, White Musk.",,2010,Perfume,
Dior Homme Intense,465,Dior,Men,Perfume,Romantic,Leather,50 ml,"Lavender,Pear, Musk, Iris,Cedar, Vetiver",Eau de Parfum,Lavender,"Pear, Musk, Iris","Cedar, Vetiver",,1988,Perfume,
Kilian Angels' Share EDP,1025,Kilian,Women,Perfume,Natural,Woody,50 ml,,Eau de Parfum,Cognac,"Oak, Tonka Bean, Cinnamon","Sandalwood, Vanilla, Praline",,2020,,
Jean Paul Gaultier Le Male Ultra EDT,555,Jean Paul Gaultier,Men,Perfume,Natural,Woody,125 ml,,Eau de Toilette,"Lemon, Bergamot, Mint, Lavender, Pear","Caraway, Sage, Cinnamon","Cedar, Patchouli, Amber, Black vanilla husk",,2015,,
Candy Addict Marshmallow Mash EDP - 50 ml,70,Candy Addict,Women,Perfume,Feminine,Sweet,50 ml,"Alcohol, Parfum (Fragrance), Aqua (Water), Hydroxycitronellal, Butylphenyl Methylpropional, Linalool, D-Limonene, Butylated Hydroxytoluene, PEG-40 Hydrogenated Castor Oil, Benzyl Benzoate, Benzyl Cinnamate, Citral.",Eau de Parfum,Peach,Marshmallow,Vanilla,,2021,,
Chopard Musk Malaki,363,Chopard,Unisex,Perfume,Classical,Leather,80 ml,"Musk, black pepper, cedar wood, leather",Eau de Parfum,musk,"Black pepper, cedar",Leather,"Silver,Purple",2017,Perfume,
Chanel Bleu De Chanel EDP,882,Chanel,Men,Perfume,Charismatic,Aromatic,150 ml,"Lemon, grapefruit, pink pepper, bergamot, coriander, mint, aldehydes, melons, jasmine, ginger, nutmeg, adan, patchouli, sandalwood, cedar, amber, incense, amber woods.",Eau de Parfum,"Lemon, grapefruit, pink pepper, bergamot, coriander, mint, aldehydes","melons, jasmine, ginger, nutmeg","adan, patchouli, sandalwood, cedar, amber, incense, amber woods.","Black,Blue",2010,Perfume,Luminizer
Parfums de Marly Valaya EDP,1539,Parfums de Marly,Women,Perfume,Sensual,Soft Floral,75 ml,,Eau de Parfum,"Aldehydes, Bergamot, Mandarin, White Peach","Mahonia, Petalia, Vetiver, Lily-of-the-Valley, Orange Blossom","Akyagala wood, Vanilla, Ambroxan, Musk",,2023,,
Calvin Klein Eternity Moment,227,Calvin Klein,Women,Perfume,Extravagant,Fruity,100 ml,"Melon, Raspberry,Guava,lachi, Peony, Jasmine, water lily, passin flower, kashmere, Sandalwood, Musk, roseWood",Eau de Parfum,"Melon, Raspberry,Guava,lachi","Peony, Jasmine, water lily, passin flower","kashmere, Sandalwood, Musk, rose Wood",,2004,Perfume,
Dolce & Gabbana The One for Men EDP,493,Dolce&Gabbana,Men,Perfume,Natural,Woody,100 ml,"Coriander, basil, grapefruit, ginger, neroli, cardamom, tobacco, sensual amber, cedar.",Eau de Parfum,"Grapefruit, Coriander, Basil","Cardamon, Ginger, Orange Blossom","Cedar Wood, Ambergris, Tobacco",,2015,Perfume,
Dior Dior Homme Parfum,730,Dior,Men,Perfume,Charismatic,Floral Oriental,100 ml,,Parfum,"Florentine, Iris, Lavender","Amber, Pear","Virginia Cedar, Vetiver",,2020,,
Dior Oud Rosewood EDP,1672,Dior,Unisex,Perfume,Classical,Oud,125 ml,,Eau de Parfum,"Quince, Raspberry","Animal Notes, Sandalwood","Rosewood, Oud",,2020,,
Bvlgari Splendida Jasmin Noir,678,Bvlgari,Women,Perfume,Extravagant,Green,100 ml,"Gardenia, green notes , sandalwood , jasmine , cashmeran , tonka bean , patchouli .",Eau de Parfum,"Green leaves, gardenia flower","Jasmine, sandalwood","Patchouli, Tonka Beans, Kashmiran","Black,Gold",2017,,
Jaguar Classic Black,101,Jaguar,Men,Perfume,Charismatic,Oriental,100 ml,"Green Apple, Tangerine, Orange,Cardamom, Nutmeg, Black Tea,Sandalwood, White Musk, Cedarwood",Eau de Toilette,"Green Apple, Tangerine, Orange","Cardamom, Nutmeg, Black Tea","Sandalwood, White Musk, Cedarwood",,2002,Perfume,
Christian Dior Miss Dior EDP - New Version,780,Dior,Women,Perfume,Charismatic,Floral Oriental,100 ml,,Eau de Parfum,"lily of the valley, peony, iris","apricot, peach, rose","sandalwood, petrolatum, musk, tonka bean, vanilla",,2021,,
Bvlgari Le Gemme Tygar,1995,Bvlgari,Men,Perfume,Natural,Woody,100 ml,"Ambery Citrus, Grapefruit Essence, Ambrox",Eau de Parfum,,,,Multi,2016,,
